Traceback (most recent call last):
  File "./combine_obs_2min.py", line 3, in <module>
    from letkfobsio import *
ModuleNotFoundError: No module named 'letkfobsio'
2013:07:13 04-56-30 -> 2013:07:13 04-57-00
2013:07:13 04-57-00 -> 2013:07:13 04-57-00
2013:07:13 04-57-30 -> 2013:07:13 04-58-00
2013:07:13 04-56-30 -> 2013:07:13 04-58-00
2013:07:13 04-58-00 -> 2013:07:13 04-58-00
2013:07:13 04-57-00 -> 2013:07:13 04-58-00
2013:07:13 04-57-30 -> 2013:07:13 04-58-00
2013:07:13 04-58-00 -> 2013:07:13 04-58-00
2013:07:13 04-58-30 -> 2013:07:13 04-59-00
2013:07:13 04-59-00 -> 2013:07:13 04-59-00
2013:07:13 04-59-30 -> 2013:07:13 05-00-00
2013:07:13 04-58-30 -> 2013:07:13 05-00-00
2013:07:13 05-00-00 -> 2013:07:13 05-00-00
2013:07:13 04-59-00 -> 2013:07:13 05-00-00
2013:07:13 04-59-30 -> 2013:07:13 05-00-00
2013:07:13 05-00-00 -> 2013:07:13 05-00-00
2013:07:13 05-00-30 -> 2013:07:13 05-01-00
2013:07:13 05-01-00 -> 2013:07:13 05-01-00
2013:07:13 05-01-30 -> 2013:07:13 05-02-00
2013:07:13 05-00-30 -> 2013:07:13 05-02-00
2013:07:13 05-02-00 -> 2013:07:13 05-02-00
2013:07:13 05-01-00 -> 2013:07:13 05-02-00
2013:07:13 05-01-30 -> 2013:07:13 05-02-00
2013:07:13 05-02-00 -> 2013:07:13 05-02-00
2013:07:13 05-02-30 -> 2013:07:13 05-03-00
2013:07:13 05-03-00 -> 2013:07:13 05-03-00
2013:07:13 05-03-30 -> 2013:07:13 05-04-00
2013:07:13 05-04-00 -> 2013:07:13 05-04-00
2013:07:13 05-02-30 -> 2013:07:13 05-04-00
2013:07:13 05-03-00 -> 2013:07:13 05-04-00
2013:07:13 05-03-30 -> 2013:07:13 05-04-00
2013:07:13 05-04-00 -> 2013:07:13 05-04-00
2013:07:13 05-04-30 -> 2013:07:13 05-05-00
2013:07:13 05-05-00 -> 2013:07:13 05-05-00
2013:07:13 05-05-30 -> 2013:07:13 05-06-00
2013:07:13 05-06-00 -> 2013:07:13 05-06-00
2013:07:13 05-04-30 -> 2013:07:13 05-06-00
2013:07:13 05-05-00 -> 2013:07:13 05-06-00
2013:07:13 05-05-30 -> 2013:07:13 05-06-00
2013:07:13 05-06-00 -> 2013:07:13 05-06-00
2013:07:13 05-06-30 -> 2013:07:13 05-07-00
2013:07:13 05-07-00 -> 2013:07:13 05-07-00
2013:07:13 05-07-30 -> 2013:07:13 05-08-00
2013:07:13 05-08-00 -> 2013:07:13 05-08-00
2013:07:13 05-06-30 -> 2013:07:13 05-08-00
